Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link
"PAWS UP! Beef Shank Bone Dog Treat, 3 to 4-in, 170-227-g",7.99,3.93,51.0,pet-care,142-2090-4,4.1,https://www.canadiantire.ca/en/pdp/paws-up-beef-shank-bone-dog-treat-3-to-4-in-170-227-g-1422090p.html#srp
Aquarius Universal Pool Replacement Handle,8.49,1.93,77.0,backyard-fun,081-3385-2,0.0,https://www.canadiantire.ca/en/pdp/aquarius-universal-pool-replacement-handle-0813385p.html#srp
"Petco Squeak Plush Ring Fox Dog Toy, Small",8.99,5.93,34.0,pet-care,142-3967-4,3.6,https://www.canadiantire.ca/en/pdp/petco-squeak-plush-ring-fox-dog-toy-small-1423967p.html#srp
"NOMA Herly 3-Light Track Light Fixture, Chrome/White",99.99,24.93,75.0,home-decor,052-7886-6,0.0,https://www.canadiantire.ca/en/pdp/noma-herly-3-light-track-light-fixture-chrome-white-0527886p.html#srp
Primos Rack-N-Roll Hunting Deer Rattling System,33.49,22.93,32.0,hunting,175-5716-2,4.7,https://www.canadiantire.ca/en/pdp/primos-rack-n-roll-hunting-deer-rattling-system-1755716p.html#srp
"HOME COLLECTIONS Wall Shelf Bracket, Espresso, 12-in x 24-in",14.99,7.43,50.0,home-organization,068-7086-4,3.0,https://www.canadiantire.ca/en/pdp/home-collections-wall-shelf-bracket-espresso-12-in-x-24-in-0687086p.html#srp
"RAM WeatherPro Elite Rear Runner 2nd Row Truck Floor Mat, Black & Red",64.99,39.93,39.0,car-care-accessories,031-3227-0,3.0,https://www.canadiantire.ca/en/pdp/ram-weatherpro-elite-rear-runner-2nd-row-truck-floor-mat-black-red-0313227p.html#srp
Pilot 36-in Flex LED Lighting Strip,29.99,2.93,90.0,car-care-accessories,041-6060X,3.3,https://www.canadiantire.ca/en/pdp/pilot-36-in-flex-led-lighting-strip-0416225p.html#srp
"Dupli-Color Scratch Fix All-In-1, Dark True Green Metallic (34 WA401E)",28.99,19.93,31.0,car-care-accessories,047-5180-0,0.0,https://www.canadiantire.ca/en/pdp/dupli-color-scratch-fix-all-in-1-dark-true-green-metallic-34-wa401e-0475180p.html#srp
"HeathZenith SL-7464 Wireless Battery 80-db 150-ft 3-Tune Doorbell Chime, 1 Push Button, Dark Wood",59.99,29.93,50.0,hardware,052-0990-8,2.3,https://www.canadiantire.ca/en/pdp/heathzenith-sl-7464-wireless-battery-80-db-150-ft-3-tune-doorbell-chime-1-push-button-dark-wood-0520990p.html#srp
"Fan Mats NHL Montreal Canadiens Steering Wheel Cover, Black",19.99,9.93,50.0,car-care-accessories,032-4480-6,4.4,https://www.canadiantire.ca/en/pdp/fan-mats-nhl-montreal-canadiens-steering-wheel-cover-black-0324480p.html#srp
"Husky Universal Mud Flap with Silver Accent, Front",109.99,14.93,86.0,car-care-accessories,037-6246-4,5.0,https://www.canadiantire.ca/en/pdp/husky-universal-mud-flap-with-silver-accent-front-0376246p.html#srp
"Globe Electric Duo A19 E26, Dimmable LED Light Bulb, 800 Lumens, Tunable White, 60W, 2-pk",10.49,5.93,43.0,electrical,052-9488-2,3.0,https://www.canadiantire.ca/en/pdp/globe-electric-duo-a19-e26-dimmable-led-light-bulb-800-lumens-tunable-white-60w-2-pk-0529488p.html#srp
Wagner Smart Paint Roller Cover 3/8-in x 6-in,8.79,3.93,55.0,paint,049-0393-0,4.0,https://www.canadiantire.ca/en/pdp/wagner-smart-paint-roller-cover-3-8-in-x-6-in-0490393p.html#srp
"Dupli-Color Scratch Fix All-In-1, Driftwood (P2)",20.99,1.93,91.0,car-care-accessories,047-4920-6,0.0,https://www.canadiantire.ca/en/pdp/dupli-color-scratch-fix-all-in-1-driftwood-p2-0474920p.html#srp
"AutoTrends Ultra Stretch Truck Bench Seat Cover, Grey",59.99,12.93,78.0,car-care-accessories,032-3541-8,3.0,https://www.canadiantire.ca/en/pdp/autotrends-ultra-stretch-truck-bench-seat-cover-grey-0323541p.html#srp
"Browning Shotshell Car Air Freshener, Vanilla",5.79,2.93,49.0,car-care-accessories,037-2693-2,4.0,https://www.canadiantire.ca/en/pdp/browning-shotshell-car-air-freshener-vanilla-0372693p.html#srp
Solderless Valve Kit for Humidifiers & Icemakers,19.99,4.93,75.0,plumbing,063-3707-2,4.0,https://www.canadiantire.ca/en/pdp/solderless-valve-kit-for-humidifiers-icemakers-0633707p.html#srp
"MotoMaster 1,200-lb Hide-A-Hook Anchor, 2-pk",19.99,7.93,60.0,automotive-outdoor-adventure,040-2935-8,4.0,https://www.canadiantire.ca/en/pdp/motomaster-1-200-lb-hide-a-hook-anchor-2-pk-0402935p.html#srp
"Anka Assorted Size Polyethylene Foot Valve, Black",25.99,16.93,35.0,plumbing,062-4133X,3.0,https://www.canadiantire.ca/en/pdp/anka-assorted-size-polyethylene-foot-valve-black-0624133p.html#srp
"Smittybilt D-Ring Quick Shackle Anchor Screw pin, Assorted Colours",24.99,11.93,52.0,automotive-outdoor-adventure,040-5962X,4.0,https://www.canadiantire.ca/en/pdp/smittybilt-d-ring-quick-shackle-anchor-screw-pin-assorted-colours-0405962p.html#srp
