Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"Purina Cat Chow® Advanced Nutrition Indoor Weight & Hairball Control Dry Cat Food, 8-kg",26.99,24.29,10.0,pet-care,042-7921-6,4.8,https://www.canadiantire.ca/en/pdp/purina-cat-chow-advanced-nutrition-indoor-weight-hairball-control-dry-cat-food-8-kg-0427921p.html#srp
"DEWALT DCG426B 20V MAX XR Brushless Cordless Variable Speed Die Grinder, Tool Only, 1-1/2-in",249.99,219.99,12.0,tools,054-7298-2,4.4,https://www.canadiantire.ca/en/pdp/dewalt-dcg426b-20v-max-xr-brushless-cordless-variable-speed-die-grinder-tool-only-1-1-2-in-0547298p.html#srp
"IAMS Proactive Health™ Large Breed Mature Adult Dry Dog Food, 13.6-kg",53.99,48.59,10.0,pet-care,142-5672-2,4.5,https://www.canadiantire.ca/en/pdp/iams-proactive-health-large-breed-mature-adult-dry-dog-food-13-6-kg-1425672p.html#srp
"Outbound Hangout 3-Season, 10-Person Camping Cabin Tent w/ Rain Fly & Carry Bag",299.99,159.99,47.0,camping,076-5961-2,3.9,https://www.canadiantire.ca/en/pdp/outbound-hangout-3-season-10-person-camping-cabin-tent-w-rain-fly-carry-bag-0765961p.html#srp
"Mastercraft Adjustable 5-Shelf Steel Metal & Wood Storage Rack / Shelving Unit, 36 x 16 x 72-in",119.99,89.99,25.0,tools,068-6447-2,4.2,https://www.canadiantire.ca/en/pdp/mastercraft-adjustable-5-shelf-steel-metal-wood-storage-rack-shelving-unit-36-x-16-x-72-in-0686447p.html#srp
"Hydro-force™ Steel Pro Max Round Swimming Pool, 12-ft x 40-in",499.99,399.99,20.0,backyard-fun,081-3346-6,3.8,https://www.canadiantire.ca/en/pdp/hydro-force-steel-pro-max-round-swimming-pool-12-ft-x-40-in-0813346p.html#srp
"Sauder 2-Door 2-Drawer Wardrobe/Armoire Clothes Storage Cabinet With Hanger Rod, White",309.99,249.99,19.0,home-decor,168-0091-4,3.9,https://www.canadiantire.ca/en/pdp/sauder-2-door-2-drawer-wardrobe-armoire-clothes-storage-cabinet-with-hanger-rod-white-1680091p.html#srp
"Certified 5-Shelf Resin/ Plastic Storage Rack/ Shelving Unit, 36 x 18 x 72-in",59.99,39.99,33.0,tools,068-0314-4,4.4,https://www.canadiantire.ca/en/pdp/certified-5-shelf-resin-plastic-storage-rack-shelving-unit-36-x-18-x-72-in-0680314p.html#srp
"Mobicool Thermoelectric Power Wheeled Cooler/Warmer, with Handle, 45-L, Blue",329.99,199.99,39.0,camping,037-0124-0,4.0,https://www.canadiantire.ca/en/pdp/mobicool-thermoelectric-power-wheeled-cooler-warmer-with-handle-45-l-blue-0370124p.html#srp
Woods™ A-Frame 6-Person Tent,299.99,224.99,25.0,camping,076-3741-8,4.6,https://www.canadiantire.ca/en/pdp/woods-a-frame-6-person-tent-0763741p.html#srp
General Evertrek GT All Season Tire For Passenger & CUV,146.99,109.36,26.0,tires,004-2034X,4.6,https://www.canadiantire.ca/en/pdp/general-evertrek-gt-all-season-tire-for-passenger-cuv-0042034p.html#srp
"Outbound Dome Tent with Screen Porch, 8-Person",239.99,167.99,30.0,camping,076-5453-2,3.3,https://www.canadiantire.ca/en/pdp/outbound-dome-tent-with-screen-porch-8-person-0765453p.html#srp
"Pelican Flow 106 1-Person Stand Up Paddle Board, White/Green, 10.6-ft",719.99,449.99,38.0,seasonal-recreation,079-2044-8,4.4,https://www.canadiantire.ca/en/pdp/pelican-flow-106-1-person-stand-up-paddle-board-white-green-10-6-ft-0792044p.html#srp
CANVAS Sydney All Weather Single Outdoor Patio Egg Chair,499.99,399.99,20.0,backyard-living,088-2290-8,4.5,https://www.canadiantire.ca/en/pdp/canvas-sydney-all-weather-single-outdoor-patio-egg-chair-0882290p.html#srp
"JumpTek Outdoor Round Trampoline with Safety Enclosure, 15-ft, Ages 5+",649.99,399.99,38.0,backyard-fun,184-0770-8,4.3,https://www.canadiantire.ca/en/pdp/jumptek-outdoor-round-trampoline-with-safety-enclosure-15-ft-ages-5-1840770p.html#srp
"Sauder 2-Door Storage Cabinet With Adjustable Shelves, Oak Finish",199.99,169.99,15.0,home-decor,168-0094-8,3.8,https://www.canadiantire.ca/en/pdp/sauder-2-door-storage-cabinet-with-adjustable-shelves-oak-finish-1680094p.html#srp
"Quantum Metrix Spinning Fishing Rod and Reel Combo, Anti-Reverse, Medium, 6.6-ft, 3-pc",99.99,39.99,60.0,fishing,077-5351-2,3.9,https://www.canadiantire.ca/en/pdp/quantum-metrix-spinning-fishing-rod-and-reel-combo-anti-reverse-medium-6-6-ft-3-pc-0775351p.html#srp
"KidKraft Springfield Outdoor Cedar Lumber/Wooden Play Centre with Swing, Ladder & Slide, Kids Ages 5+",749.99,649.99,13.0,backyard-fun,084-7276-2,4.0,https://www.canadiantire.ca/en/pdp/kidkraft-springfield-outdoor-cedar-lumber-wooden-play-centre-with-swing-ladder-slide-kids-ages-5-0847276p.html#srp
"Certified 4-Shelf Resin/ Plastic Storage Rack/ Shelving Unit, 23 x 12 x 52-in",29.99,19.99,33.0,tools,068-0310-2,4.3,https://www.canadiantire.ca/en/pdp/certified-4-shelf-resin-plastic-storage-rack-shelving-unit-23-x-12-x-52-in-0680310p.html#srp
"Yardworks 3-in-1 12A Electric Corded Walk Behind Push Lawn Mower, 20-in",299.99,249.99,17.0,outdoor-tools,060-1723-0,3.7,https://www.canadiantire.ca/en/pdp/yardworks-3-in-1-12a-electric-corded-walk-behind-push-lawn-mower-20-in-0601723p.html#srp
Outbound 2-Pack Twin Single-High Inflatable Air Mattresses/Airbeds w/ Repair Patch,53.99,31.99,41.0,camping,076-6104-8,3.1,https://www.canadiantire.ca/en/pdp/outbound-2-pack-twin-single-high-inflatable-air-mattresses-airbeds-w-repair-patch-0766104p.html#srp
"Certified Light Duty Poly Tarp, Waterproof, 9-ft x 12-ft",9.99,5.99,40.0,automotive-outdoor-adventure,040-5030-2,4.3,https://www.canadiantire.ca/en/pdp/certified-light-duty-poly-tarp-waterproof-9-ft-x-12-ft-0405030p.html#srp
"Spalding Hercules Portable Adjustable Basketball Backboard, Hoop & Net System, 54-in",729.99,599.99,18.0,team-sports-and-golf,184-0810-4,4.5,https://www.canadiantire.ca/en/pdp/spalding-hercules-portable-adjustable-basketball-backboard-hoop-net-system-54-in-1840810p.html#srp
"Sauder 3-Door Wardrobe/Armoire Clothes Storage Cabinet With Hanger Rod & Shelves, Cinnamon",359.99,279.99,22.0,home-decor,168-0092-2,4.0,https://www.canadiantire.ca/en/pdp/sauder-3-door-wardrobe-armoire-clothes-storage-cabinet-with-hanger-rod-shelves-cinnamon-1680092p.html#srp
"Evenflo Maestro Sport Car Seat, Grey",189.99,139.99,26.0,car-care-accessories,046-8066-8,4.0,https://www.canadiantire.ca/en/pdp/evenflo-maestro-sport-car-seat-grey-0468066p.html#srp
"Coleman 3-Season, 8-Person Camping Cabin Tent w/ Convertible Screened Room, Rain Fly & Carry Bag",399.99,239.99,40.0,camping,076-6126-6,3.7,https://www.canadiantire.ca/en/pdp/coleman-3-season-8-person-camping-cabin-tent-w-convertible-screened-room-rain-fly-carry-bag-0766126p.html#srp
"Outbound Hangout 3-Season, 6-Person Camping Cabin Tent w/ Rain Fly & Carry Bag",279.99,167.99,40.0,camping,076-5962-0,4.2,https://www.canadiantire.ca/en/pdp/outbound-hangout-3-season-6-person-camping-cabin-tent-w-rain-fly-carry-bag-0765962p.html#srp
"Yardworks 5A Electric Corded String Grass Trimmer/Edger, 14-in",99.99,59.99,40.0,outdoor-tools,060-2365-6,3.6,https://www.canadiantire.ca/en/pdp/yardworks-5a-electric-corded-string-grass-trimmer-edger-14-in-0602365p.html#srp
"Suncast Vista 7 x 7 ft Resin Outdoor Storage Shed, Taupe",1549.99,1279.99,17.0,backyard-living,060-3081-4,4.3,https://www.canadiantire.ca/en/pdp/suncast-vista-7-x-7-ft-resin-outdoor-storage-shed-taupe-0603081p.html#srp
"Pelican Maxim 100NXT Sit-in 1-Person Kayak, Aquamarine/White, 10-ft",649.99,549.99,15.0,seasonal-recreation,079-2062-4,4.7,https://www.canadiantire.ca/en/pdp/pelican-maxim-100nxt-sit-in-1-person-kayak-aquamarine-white-10-ft-0792062p.html#srp
"Helly Hansen Adult Evoprene PFD/Life Jacket, Purple",99.99,84.99,15.0,seasonal-recreation,079-3022X,4.8,https://www.canadiantire.ca/en/pdp/helly-hansen-adult-evoprene-pfd-life-jacket-purple-0793022p.html#srp
"T-fal Easy Fry 8-in-1 XL Digital Air Fryer, Black, 4.2-L",229.99,99.99,57.0,kitchen,043-0944-2,4.2,https://www.canadiantire.ca/en/pdp/t-fal-easy-fry-8-in-1-xl-digital-air-fryer-black-4-2-l-0430944p.html#srp
