Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
"Swimways Inflatable Spring Float Pool Lounger, 66 x 40-in, Blue",34.99,,14.0,backyard-fun,081-3071-8,4.4,https://www.canadiantire.ca/en/pdp/swimways-inflatable-spring-float-pool-lounger-66-x-40-in-blue-0813071p.html#srp,29.99
"MotoMaster Eliminator PowerBox® Portable Power Pack & Battery Booster/Jump Starter, 2000 Peak Amps, 700W",309.99,,20.0,light-auto-parts,011-2028-8,3.2,https://www.canadiantire.ca/en/pdp/motomaster-eliminator-powerbox-portable-power-pack-battery-booster-jump-starter-2000-peak-amps-700w-0112028p.html#srp,247.99
"Woods Creekside 3-Season, 6-Person Camping Dome Tent w/ Canopy/Awning, Rain Fly & Carry Bag",219.99,,25.0,camping,076-6068-4,3.7,https://www.canadiantire.ca/en/pdp/woods-creekside-3-season-6-person-camping-dome-tent-w-canopy-awning-rain-fly-carry-bag-0766068p.html#srp,164.99
Energizer Arc 3 12V 300Wh Lithium-ion Portable Power Station,459.99,,13.0,automotive-outdoor-adventure,040-1837-8,4.4,https://www.canadiantire.ca/en/pdp/energizer-arc-3-12v-300wh-lithium-ion-portable-power-station-0401837p.html#srp,399.99
"Ninja® 6-in-1 Non-Stick Indoor Grill/Air Grill w/ Air Fryer, Stainless Steel, Black",399.99,,38.0,kitchen,043-0737-6,4.4,https://www.canadiantire.ca/en/pdp/ninja-6-in-1-non-stick-indoor-grill-air-grill-w-air-fryer-stainless-steel-black-0430737p.html#srp,249.99
"DEWALT DCK240C2 20V MAX Cordless Drill/Driver, Impact Driver, Battery & Charger Combo Kit",249.99,,20.0,tools,054-2320-8,4.4,https://www.canadiantire.ca/en/pdp/dewalt-dck240c2-20v-max-cordless-drill-driver-impact-driver-battery-charger-combo-kit-0542320p.html#srp,199.99
"Midea MC35MSWBA3RC Compact 35 Pint Cube Dehumidifier with Smart Wi-Fi For Home & Basement, ENERGY STAR® Certified, White",329.99,,30.0,home-environment,043-0744-8,4.1,https://www.canadiantire.ca/en/pdp/midea-mc35mswba3rc-compact-35-pint-cube-dehumidifier-with-smart-wi-fi-for-home-basement-energy-star-certified-white-0430744p.html#srp,229.99
"Affresh Washing Machine Cleaner Tabs, Fresh Scent, 120-g, 3-pk",10.49,,10.0,home-essentials,053-1519-6,4.5,https://www.canadiantire.ca/en/pdp/affresh-washing-machine-cleaner-tabs-fresh-scent-120-g-3-pk-0531519p.html#srp,9.44
"Thule Trailway 2-Bike Hitch Mount Bike Rack, Fits 1-1/4, 2-in Receiver, Black",299.99,,20.0,automotive-outdoor-adventure,040-1877-2,4.6,https://www.canadiantire.ca/en/pdp/thule-trailway-2-bike-hitch-mount-bike-rack-fits-1-1-4-2-in-receiver-black-0401877p.html#srp,239.99
"Helly Hansen Adult Evoprene PFD/Life Jacket, Blue",99.99,,15.0,seasonal-recreation,079-3025X,4.6,https://www.canadiantire.ca/en/pdp/helly-hansen-adult-evoprene-pfd-life-jacket-blue-0793025p.html#srp,84.99
"For Living 8-ft Portable Plastic & Metal Folding Table with Handle, White",149.99,,20.0,home-decor,068-7579-2,4.4,https://www.canadiantire.ca/en/pdp/for-living-8-ft-portable-plastic-metal-folding-table-with-handle-white-0687579p.html#srp,119.99
"MASTER Chef Wide Slots Toaster w/ 7 Settings, Black, 2-Slices",34.99,,57.0,kitchen,043-1006-0,3.9,https://www.canadiantire.ca/en/pdp/master-chef-wide-slots-toaster-w-7-settings-black-2-slices-0431006p.html#srp,14.99
"For Living Anti-Fatigue Indoor Brown Foam Kitchen Mat, 20-in x 38-in",59.99,,50.0,home-decor,068-7130-8,4.7,https://www.canadiantire.ca/en/pdp/for-living-anti-fatigue-indoor-brown-foam-kitchen-mat-20-in-x-38-in-0687130p.html#srp,29.99
"Shell Rotella® T4 Triple Protection® 15W40 Heavy-Duty Conventional Diesel Engine/Motor Oil, 18.9-L",122.99,,19.0,auto-maintenance,028-7932-6,4.7,https://www.canadiantire.ca/en/pdp/shell-rotella-t4-triple-protection-15w40-heavy-duty-conventional-diesel-engine-motor-oil-18-9-l-0287932p.html#srp,99.99
"Lifetime Portable Adjustable Basketball Backboard, Hoop & Net System, 52-in",679.99,,15.0,team-sports-and-golf,184-0820-0,4.7,https://www.canadiantire.ca/en/pdp/lifetime-portable-adjustable-basketball-backboard-hoop-net-system-52-in-1840820p.html#srp,579.99
"ShelterLogic Waterproof Round Style Car Garage Shelter w/UV Protection, 10 x 20-ft",799.99,,40.0,car-care-accessories,037-6638-2,3.0,https://www.canadiantire.ca/en/pdp/shelterlogic-waterproof-round-style-car-garage-shelter-w-uv-protection-10-x-20-ft-0376638p.html#srp,479.99
"Outbound Mens Athleisure Lightweight Casual Slip-on Shoes with Memory Foam, Black",49.99,,30.0,footwear-apparel,187-1677X,4.1,https://www.canadiantire.ca/en/pdp/outbound-men-s-athleisure-lightweight-casual-slip-on-shoes-with-memory-foam-black-1871677p.html#srp,34.99
"Outbound Outdoor Portable Bocce Set, 10-pc, Ages 8+, Red/Green",79.99,,15.0,backyard-fun,084-6982-6,4.7,https://www.canadiantire.ca/en/pdp/outbound-outdoor-portable-bocce-set-10-pc-ages-8-red-green-0846982p.html#srp,67.99
"CANVAS Wild Rose 16pc Porcelain Dinnerware Set, Serves 4, White",99.99,,50.0,kitchen,142-3539-4,4.3,https://www.canadiantire.ca/en/pdp/canvas-wild-rose-16pc-porcelain-dinnerware-set-serves-4-white-1423539p.html#srp,49.99
"MASTER Chef Single Burner Hot Plate, Black, 1000W",34.99,,43.0,kitchen,043-1200-6,3.8,https://www.canadiantire.ca/en/pdp/master-chef-single-burner-hot-plate-black-1000w-0431200p.html#srp,19.99
"KidKraft Outdoor Sunview Cedar Lumber/Wooden Play Centre, Kids Ages 3-7",599.99,,17.0,backyard-fun,084-0224-8,3.0,https://www.canadiantire.ca/en/pdp/kidkraft-outdoor-sunview-cedar-lumber-wooden-play-centre-kids-ages-3-7-0840224p.html#srp,499.99
"Airhead Mach 2 Air-Pump Inflatable Water Boating 2-Rider Towable Tube, Blue",269.99,,19.0,seasonal-recreation,079-7082-6,3.9,https://www.canadiantire.ca/en/pdp/airhead-mach-2-air-pump-inflatable-water-boating-2-rider-towable-tube-blue-0797082p.html#srp,219.99
"Sportspower Outdoor 4-Station Metal Swing Set Combo, 2 Swings, Trapeze & Slide, Kids Ages 3+",249.99,,20.0,backyard-fun,084-7625-2,3.4,https://www.canadiantire.ca/en/pdp/sportspower-outdoor-4-station-metal-swing-set-combo-2-swings-trapeze-slide-kids-ages-3-0847625p.html#srp,199.99
